Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0021,1.0000,1.0000,20.1250,20.1250
2,1.0050,0.0000,0.0000,20.1250,20.1250
3,1.0071,2.0000,2.0000,20.1250,20.1250
4,1.0006,0.0000,0.0000,20.1250,20.1250
5,1.0036,1.0000,1.0000,20.1250,20.1250
6,1.0025,2.0000,2.0000,20.1250,20.1250
7,1.0020,1.0000,1.0000,20.1250,20.1250
9,1.0041,1.0000,1.0000,20.2500,20.2500
10,1.0042,0.0000,0.0000,20.2500,20.2500
