Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0041,0.0000,0.0000,20.2500,20.2500
2,1.0047,1.0000,1.0000,20.3750,20.3750
3,1.0024,0.0000,0.0000,20.3750,20.3750
4,1.0017,1.0000,1.0000,20.3750,20.3750
5,1.0045,2.0000,2.0000,20.3750,20.3750
6,1.0057,1.0000,1.0000,20.3750,20.3750
7,1.0005,1.0000,1.0000,20.3750,20.3750
8,1.0046,1.0000,1.0000,20.3750,20.3750
9,1.0013,1.0000,1.0000,20.3750,20.3750
10,1.0022,1.0000,1.0000,20.3750,20.3750
