Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0055,0.9000,0.9000,18.4219,18.4219
2,1.0051,0.8000,0.8000,19.2969,19.2969
3,1.0038,0.4000,0.4000,19.3594,19.3594
4,1.0049,1.4000,1.4000,19.5312,19.5312
5,1.0017,1.5000,1.5000,19.6406,19.6406
6,1.0052,1.5000,1.5000,19.7031,19.7031
7,1.0052,1.5000,1.5000,19.7344,19.7344
8,1.0005,1.4000,1.4000,19.7344,19.7344
9,1.0054,1.5000,1.5000,19.7500,19.7500
10,1.0052,1.5000,1.5000,19.7500,19.7500
