Run,Execution Time (s),Avg CPU (%),Max CPU (%),Avg Memory (MB),Max Memory (MB)
1,1.0008,6.0000,6.0000,25.6016,25.6016
2,1.0014,1.0000,1.0000,25.6016,25.6016
3,1.0011,1.0000,1.0000,25.6016,25.6016
4,1.0012,1.0000,1.0000,25.6016,25.6016
5,1.0013,2.0000,2.0000,25.6016,25.6016
6,1.0027,1.0000,1.0000,25.6016,25.6016
7,1.0018,1.0000,1.0000,25.6016,25.6016
8,1.0012,1.0000,1.0000,25.6016,25.6016
9,1.0010,2.0000,2.0000,25.6016,25.6016
10,1.0006,1.0000,1.0000,25.6016,25.6016
